ID,Name,Country
3,Arsenal,England
7,Aston Villa,England
5,Blackburn Rovers,England
30,Bolton Wanderers,England
8,Chelsea,England
11,Everton,England
54,Fulham,England
14,Liverpool,England
43,Manchester City,England
1,Manchester United,England
4,Newcastle United,England
45,Norwich City,England
52,Queens Park Rangers,England
110,Stoke City,England
56,Sunderland,England
80,Swansea City,Wales
6,Tottenham Hotspur,England
35,West Bromwich Albion,England
111,Wigan Athletic,England
39,Wolverhampton Wanderers,England