Matchday,Home Team,Away Team,Team,Player,Event,Bodypart,Time,Stoppage
20,Aston Villa,Swansea City,Swansea City,Wayne Routledge,Shot following rebound,Left foot,47,
20,Blackburn Rovers,Stoke City,Stoke City,Peter Crouch,Cross from open play,Right foot,17,
20,Blackburn Rovers,Stoke City,Stoke City,Peter Crouch,Cross from open play,Left foot,45,
20,Blackburn Rovers,Stoke City,Blackburn Rovers,David Goodwillie,Shot following rebound,Left foot,69,
20,Everton,Bolton Wanderers,Everton,Tim Howard,Shot outside penalty area,Right foot,63,
20,Everton,Bolton Wanderers,Bolton Wanderers,David Ngog,Shot inside penalty area,Left foot,67,
20,Everton,Bolton Wanderers,Bolton Wanderers,Gary Cahill,Shot inside penalty area,Right foot,78,
20,Fulham,Arsenal,Fulham,Laurent Koscielny,Cross from open play,Head,21,
20,Fulham,Arsenal,Fulham,Steve Sidwell,Flick on from corner kick,Head,85,
20,Fulham,Arsenal,Fulham,Bobby Zamora,Cross from open play,Left foot,90,2
20,Manchester City,Liverpool,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,10,
20,Manchester City,Liverpool,Manchester City,Yaya Touré,Cross from corner kick,Head,33,
20,Newcastle United,Manchester United,Newcastle United,Demba Ba,Shot inside penalty area,Right foot,33,
20,Newcastle United,Manchester United,Newcastle United,Yohan Cabaye,Direct from free kick,Right foot,47,
20,Newcastle United,Manchester United,Newcastle United,Phil Jones,Cross from free kick,Other,90,
20,Queens Park Rangers,Norwich City,Queens Park Rangers,Joey Barton,Shot inside penalty area,Right foot,11,
20,Queens Park Rangers,Norwich City,Norwich City,Anthony Pilkington,Shot outside penalty area,Left foot,42,
20,Queens Park Rangers,Norwich City,Norwich City,Steve Morison,Shot inside goal area,Right foot,83,
20,Tottenham Hotspur,West Bromwich Albion,Tottenham Hotspur,Jermain Defoe,Shot inside penalty area,Right foot,63,
20,Wigan Athletic,Sunderland,Sunderland,Craig Gardner,Direct from free kick,Foot,45,4
20,Wigan Athletic,Sunderland,Sunderland,James McClean,Cross from open play,Head,55,
20,Wigan Athletic,Sunderland,Wigan Athletic,Hugo Rodallega,Shot outside penalty area,Right foot,62,
20,Wigan Athletic,Sunderland,Sunderland,Stéphane Sessègnon,Shot inside goal area,Left foot,73,
20,Wigan Athletic,Sunderland,Sunderland,David Vaughan,Shot following rebound,Left foot,80,
20,Wolverhampton Wanderers,Chelsea,Chelsea,Ramires,Flick on from corner kick,Left foot,54,
20,Wolverhampton Wanderers,Chelsea,Wolverhampton Wanderers,Stephen Ward,Shot inside goal area,Left foot,84,
20,Wolverhampton Wanderers,Chelsea,Chelsea,Frank Lampard,Cross from open play,Right foot,89,
21,Aston Villa,Everton,Aston Villa,Darren Bent,Shot inside penalty area,Right foot,56,
21,Aston Villa,Everton,Everton,Victor Anichebe,Shot inside penalty area,Right foot,69,
21,Blackburn Rovers,Fulham,Blackburn Rovers,Morten Gamst Pedersen,Cross from free kick,Left foot,45,4
21,Blackburn Rovers,Fulham,Blackburn Rovers,David Dunn,Shot following rebound,Right foot,46,
21,Blackburn Rovers,Fulham,Fulham,Damien Duff,Shot inside penalty area,Right foot,56,
21,Blackburn Rovers,Fulham,Blackburn Rovers,Mauro Formica,Shot inside penalty area,Left foot,79,
21,Chelsea,Sunderland,Chelsea,Frank Lampard,Shot following rebound,Foot,13,
21,Manchester United,Bolton Wanderers,Manchester United,Paul Scholes,Shot inside goal area,Right foot,45,2
21,Manchester United,Bolton Wanderers,Manchester United,Danny Welbeck,Shot inside penalty area,Right foot,74,
21,Manchester United,Bolton Wanderers,Manchester United,Michael Carrick,Shot outside penalty area,Foot,83,
21,Newcastle United,Queens Park Rangers,Newcastle United,Leon Best,Shot inside goal area,Right foot,37,
21,Swansea City,Arsenal,Arsenal,Robin van Persie,Shot inside penalty area,Right foot,5,
21,Swansea City,Arsenal,Swansea City,Nathan Dyer,Cross from open play,Right foot,57,
21,Swansea City,Arsenal,Arsenal,Theo Walcott,Through pass creates 1-v-1,Right foot,69,
21,Swansea City,Arsenal,Swansea City,Danny Graham,Shot inside penalty area,Right foot,70,
21,Tottenham Hotspur,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Shot following rebound,Head,22,
21,Tottenham Hotspur,Wolverhampton Wanderers,Tottenham Hotspur,Luka Modrić,Shot outside penalty area,Right foot,51,
21,West Bromwich Albion,Norwich City,Norwich City,Andrew Surman,Cross from open play,Left foot,43,
21,West Bromwich Albion,Norwich City,Norwich City,Steve Morison,Cross from open play,Head,79,
21,Wigan Athletic,Manchester City,Manchester City,Edin Džeko,Cross from free kick,Head,22,
22,Arsenal,Manchester United,Manchester United,Antonio Valencia,Cross from open play,Head,45,1
22,Arsenal,Manchester United,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,71,
22,Arsenal,Manchester United,Manchester United,Danny Welbeck,Shot inside penalty area,Right foot,81,
22,Bolton Wanderers,Liverpool,Bolton Wanderers,Mark Davies,Shot inside penalty area,Left foot,4,
22,Bolton Wanderers,Liverpool,Bolton Wanderers,Nigel Reo-Coker,Shot inside goal area,Right foot,29,
22,Bolton Wanderers,Liverpool,Liverpool,Craig Bellamy,Shot inside penalty area,Right foot,37,
22,Bolton Wanderers,Liverpool,Bolton Wanderers,Grétar Steinsson,Shot inside penalty area,Right foot,50,
22,Everton,Blackburn Rovers,Everton,Tim Cahill,Flick on from corner kick,Right foot,24,
22,Everton,Blackburn Rovers,Blackburn Rovers,David Goodwillie,Cross from free kick,Left foot,72,
22,Fulham,Newcastle United,Newcastle United,Danny Guthrie,Shot outside penalty area,Foot,43,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot following rebound,Foot,59,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,65,
22,Fulham,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot inside penalty area,Right foot,85,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,89,
22,Manchester City,Tottenham Hotspur,Manchester City,Samir Nasri,Shot outside penalty area,Right foot,56,
22,Manchester City,Tottenham Hotspur,Manchester City,Joleon Lescott,Flick on from corner kick,Other,59,
22,Manchester City,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Shot outside penalty area,Right foot,60,
22,Manchester City,Tottenham Hotspur,Tottenham Hotspur,Gareth Bale,Shot outside penalty area,Left foot,65,
22,Queens Park Rangers,Wigan Athletic,Queens Park Rangers,Ákos Buzsáky,Direct from free kick,Foot,45,
22,Queens Park Rangers,Wigan Athletic,Wigan Athletic,Hugo Rodallega,Direct from free kick,Foot,66,
22,Queens Park Rangers,Wigan Athletic,Queens Park Rangers,Tommy Smith,Shot outside penalty area,Foot,81,
22,Stoke City,West Bromwich Albion,West Bromwich Albion,James Morrison,Shot outside penalty area,Foot,35,
22,Stoke City,West Bromwich Albion,Stoke City,Cameron Jerome,Cross from open play,Head,86,
22,Stoke City,West Bromwich Albion,West Bromwich Albion,Graham Dorrans,Direct from free kick,Foot,90,1
22,Sunderland,Swansea City,Sunderland,Stéphane Sessègnon,Shot inside penalty area,Right foot,14,
22,Sunderland,Swansea City,Sunderland,Craig Gardner,Shot outside penalty area,Foot,85,
22,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,Michael Kightly,Shot inside penalty area,Left foot,21,
22,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,David Edwards,Cross from corner kick,Head,31,
22,Wolverhampton Wanderers,Aston Villa,Aston Villa,Robbie Keane,Shot following defensive giveaway,Right foot,51,
22,Wolverhampton Wanderers,Aston Villa,Aston Villa,Robbie Keane,Shot outside penalty area,Foot,84,
23,Aston Villa,Queens Park Rangers,Queens Park Rangers,Djibril Cissé,Shot following rebound,Right foot,12,
23,Aston Villa,Queens Park Rangers,Queens Park Rangers,Stephen Warnock,Cross from open play,Head,28,
23,Aston Villa,Queens Park Rangers,Aston Villa,Darren Bent,Shot inside goal area,Right foot,45,
23,Aston Villa,Queens Park Rangers,Aston Villa,Charles N'Zogbia,Cross from open play,Left foot,79,
23,Blackburn Rovers,Newcastle United,Newcastle United,Scott Dann,Deflected shot,Unknown,12,
23,Blackburn Rovers,Newcastle United,Newcastle United,Gabriel Obertan,Through pass creates 1-v-1,Right foot,90,2
23,Everton,Manchester City,Everton,Darron Gibson,Deflected shot,Right foot,60,
23,Fulham,West Bromwich Albion,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,69,
23,Fulham,West Bromwich Albion,West Bromwich Albion,Somen Tchoyi,Shot inside goal area,Right foot,85,
23,Sunderland,Norwich City,Sunderland,Fraizer Campbell,Shot outside penalty area,Foot,21,
23,Sunderland,Norwich City,Sunderland,Stéphane Sessègnon,Cross from open play,Head,28,
23,Sunderland,Norwich City,Sunderland,Daniel Ayala,Deflected shot,Unknown,54,
23,Swansea City,Chelsea,Swansea City,Scott Sinclair,Cross from free kick,Left foot,39,
23,Swansea City,Chelsea,Chelsea,Neil Taylor,Deflected shot,Unknown,90,3
23,Tottenham Hotspur,Wigan Athletic,Tottenham Hotspur,Gareth Bale,Shot inside goal area,Left foot,29,
23,Tottenham Hotspur,Wigan Athletic,Tottenham Hotspur,Luka Modrić,Shot outside penalty area,Right foot,34,
23,Tottenham Hotspur,Wigan Athletic,Tottenham Hotspur,Gareth Bale,Shot outside penalty area,Left foot,64,
23,Tottenham Hotspur,Wigan Athletic,Wigan Athletic,James McArthur,Shot inside penalty area,Left foot,80,
23,Wolverhampton Wanderers,Liverpool,Liverpool,Andy Carroll,Cross from open play,Left foot,52,
23,Wolverhampton Wanderers,Liverpool,Liverpool,Craig Bellamy,Shot outside penalty area,Right foot,61,
23,Wolverhampton Wanderers,Liverpool,Liverpool,Dirk Kuyt,Shot inside penalty area,Right foot,78,
24,Arsenal,Blackburn Rovers,Arsenal,Robin van Persie,Shot inside goal area,Left foot,2,
24,Arsenal,Blackburn Rovers,Blackburn Rovers,Morten Gamst Pedersen,Direct from free kick,Left foot,31,
24,Arsenal,Blackburn Rovers,Arsenal,Robin van Persie,Shot inside goal area,Right foot,38,
24,Arsenal,Blackburn Rovers,Arsenal,Alex Oxlade-Chamberlain,Shot inside goal area,Right foot,40,
24,Arsenal,Blackburn Rovers,Arsenal,Mikel Arteta,Shot outside penalty area,Right foot,51,
24,Arsenal,Blackburn Rovers,Arsenal,Alex Oxlade-Chamberlain,Shot inside penalty area,Right foot,54,
24,Arsenal,Blackburn Rovers,Arsenal,Robin van Persie,Shot inside goal area,Right foot,62,
24,Arsenal,Blackburn Rovers,Arsenal,Thierry Henry,Shot inside penalty area,Right foot,90,3
24,Chelsea,Manchester United,Chelsea,Jonny Evans,Deflected shot,Unknown,36,
24,Chelsea,Manchester United,Chelsea,Juan Mata,Shot outside penalty area,Foot,46,
24,Chelsea,Manchester United,Chelsea,David Luiz,Cross from free kick,Head,50,
24,Chelsea,Manchester United,Manchester United,Javier Hernández,Cross from open play,Head,84,
24,Manchester City,Fulham,Manchester City,Chris Baird,Deflected shot,Unknown,30,
24,Manchester City,Fulham,Manchester City,Edin Džeko,Shot inside penalty area,Right foot,72,
24,Newcastle United,Aston Villa,Newcastle United,Demba Ba,Shot inside penalty area,Right foot,30,
24,Newcastle United,Aston Villa,Aston Villa,Robbie Keane,Cross from open play,Right foot,45,5
24,Newcastle United,Aston Villa,Newcastle United,Papiss Demba Cissé,Cross from open play,Left foot,71,
24,Norwich City,Bolton Wanderers,Norwich City,Andrew Surman,Shot inside penalty area,Right foot,69,
24,Norwich City,Bolton Wanderers,Norwich City,Anthony Pilkington,Shot following rebound,Foot,85,
24,Queens Park Rangers,Wolverhampton Wanderers,Queens Park Rangers,Bobby Zamora,Shot inside penalty area,Right foot,16,
24,Queens Park Rangers,Wolverhampton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,Cross from corner kick,Right foot,46,
24,Queens Park Rangers,Wolverhampton Wanderers,Wolverhampton Wanderers,Kevin Doyle,Shot inside penalty area,Right foot,71,
24,Stoke City,Sunderland,Sunderland,James McClean,Shot inside penalty area,Right foot,60,
24,West Bromwich Albion,Swansea City,West Bromwich Albion,Marc-Antoine Fortuné,Shot inside goal area,Left foot,54,
24,West Bromwich Albion,Swansea City,Swansea City,Gylfi Sigurðsson,Cross from open play,Left foot,55,
24,West Bromwich Albion,Swansea City,Swansea City,Danny Graham,Shot inside goal area,Right foot,59,
24,Wigan Athletic,Everton,Wigan Athletic,Philip Neville,Deflected shot,Unknown,76,
24,Wigan Athletic,Everton,Everton,Victor Anichebe,Cross from corner kick,Head,83,
25,Aston Villa,Manchester City,Manchester City,Joleon Lescott,Shot inside goal area,Right foot,63,
25,Blackburn Rovers,Queens Park Rangers,Blackburn Rovers,Yakubu,Shot outside penalty area,Right foot,14,
25,Blackburn Rovers,Queens Park Rangers,Blackburn Rovers,Steven N'Zonzi,Shot inside penalty area,Left foot,23,
25,Blackburn Rovers,Queens Park Rangers,Blackburn Rovers,Nedum Onuoha,Deflected shot,Unknown,45,5
25,Blackburn Rovers,Queens Park Rangers,Queens Park Rangers,Jamie Mackie,Shot inside goal area,Left foot,71,
25,Blackburn Rovers,Queens Park Rangers,Queens Park Rangers,Jamie Mackie,Shot inside penalty area,Right foot,90,2
25,Bolton Wanderers,Wigan Athletic,Wigan Athletic,Gary Caldwell,Cross from corner kick,Head,43,
25,Bolton Wanderers,Wigan Athletic,Bolton Wanderers,Mark Davies,Shot outside penalty area,Left foot,67,
25,Bolton Wanderers,Wigan Athletic,Wigan Athletic,James McArthur,Shot following rebound,Foot,77,
25,Everton,Chelsea,Everton,Steven Pienaar,Shot inside penalty area,Left foot,5,
25,Everton,Chelsea,Everton,Denis Stracqualursi,Shot inside penalty area,Right foot,71,
25,Fulham,Stoke City,Fulham,Pavel Pogrebnyak,Shot following rebound,Left foot,16,
25,Fulham,Stoke City,Fulham,Thomas Sørensen,Deflected shot,Other,28,
25,Fulham,Stoke City,Stoke City,Ryan Shawcross,Cross from corner kick,Head,78,
25,Manchester United,Liverpool,Manchester United,Wayne Rooney,Cross from corner kick,Right foot,47,
25,Manchester United,Liverpool,Manchester United,Wayne Rooney,Shot inside penalty area,Left foot,50,
25,Manchester United,Liverpool,Liverpool,Luis Suárez,Cross from free kick,Unknown,80,
25,Sunderland,Arsenal,Sunderland,James McClean,Shot inside penalty area,Foot,70,
25,Sunderland,Arsenal,Arsenal,Aaron Ramsey,Shot outside penalty area,Right foot,75,
25,Sunderland,Arsenal,Arsenal,Thierry Henry,Cross from open play,Right foot,90,1
25,Swansea City,Norwich City,Swansea City,Danny Graham,Shot inside penalty area,Right foot,23,
25,Swansea City,Norwich City,Norwich City,Grant Holt,Cross from open play,Head,47,
25,Swansea City,Norwich City,Norwich City,Anthony Pilkington,Deflected shot,Right foot,51,
25,Swansea City,Norwich City,Norwich City,Grant Holt,Through pass creates 1-v-1,Right foot,63,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Benoît Assou-Ekotto,Shot inside goal area,Left foot,4,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Louis Saha,Cross from open play,Left foot,6,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Louis Saha,Shot inside penalty area,Right foot,20,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Niko Kranjčar,Shot inside penalty area,Left foot,34,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Emmanuel Adebayor,Shot inside penalty area,Right foot,64,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot outside penalty area,Left foot,34,
25,Wolverhampton Wanderers,West Bromwich Albion,Wolverhampton Wanderers,Steven Fletcher,Shot outside penalty area,Left foot,45,1
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Jonas Olsson,Shot inside penalty area,Left foot,64,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot inside goal area,Left foot,77,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Keith Andrews,Deflected shot,Foot,85,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot inside goal area,Right foot,88,
26,Arsenal,Tottenham Hotspur,Tottenham Hotspur,Louis Saha,Deflected shot,Left foot,3,
26,Arsenal,Tottenham Hotspur,Arsenal,Bacary Sagna,Cross from open play,Head,40,
26,Arsenal,Tottenham Hotspur,Arsenal,Robin van Persie,Shot outside penalty area,Left foot,43,
26,Arsenal,Tottenham Hotspur,Arsenal,Tomáš Rosický,Shot inside goal area,Left foot,51,
26,Arsenal,Tottenham Hotspur,Arsenal,Theo Walcott,Shot inside goal area,Right foot,65,
26,Arsenal,Tottenham Hotspur,Arsenal,Theo Walcott,Shot inside penalty area,Right foot,68,
26,Chelsea,Bolton Wanderers,Chelsea,David Luiz,Shot inside penalty area,Right foot,48,
26,Chelsea,Bolton Wanderers,Chelsea,Didier Drogba,Cross from corner kick,Head,61,
26,Chelsea,Bolton Wanderers,Chelsea,Frank Lampard,Cross from open play,Right foot,79,
26,Liverpool,Everton,Liverpool,Steven Gerrard,Shot following rebound,Left foot,34,
26,Liverpool,Everton,Liverpool,Steven Gerrard,Shot inside penalty area,Right foot,51,
26,Liverpool,Everton,Liverpool,Steven Gerrard,Shot inside penalty area,Left foot,90,3
26,Manchester City,Blackburn Rovers,Manchester City,Mario Balotelli,Shot inside goal area,Left foot,30,
26,Manchester City,Blackburn Rovers,Manchester City,Sergio Agüero,Cross from corner kick,Right foot,52,
26,Manchester City,Blackburn Rovers,Manchester City,Edin Džeko,Cross from open play,Head,81,
26,Newcastle United,Wolverhampton Wanderers,Newcastle United,Papiss Demba Cissé,Shot following rebound,Left foot,6,
26,Newcastle United,Wolverhampton Wanderers,Newcastle United,Jonás Gutiérrez,Shot inside penalty area,Foot,18,
26,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,Shot inside penalty area,Right foot,50,
26,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers,Kevin Doyle,Cross from free kick,Right foot,66,
26,Norwich City,Manchester United,Manchester United,Paul Scholes,Cross from open play,Head,7,
26,Norwich City,Manchester United,Norwich City,Grant Holt,Shot inside penalty area,Left foot,83,
26,Norwich City,Manchester United,Manchester United,Ryan Giggs,Cross from open play,Left foot,90,2
26,Queens Park Rangers,Fulham,Fulham,Pavel Pogrebnyak,Shot inside goal area,Left foot,7,
26,Stoke City,Swansea City,Stoke City,Matthew Upson,Cross from corner kick,Head,24,
26,Stoke City,Swansea City,Stoke City,Peter Crouch,Cross from throw-in,Head,39,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,Peter Odemwingie,Cross from open play,Head,3,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,James Morrison,Cross from open play,Head,41,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,Peter Odemwingie,Shot outside penalty area,Left foot,48,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,Keith Andrews,Shot inside penalty area,Right foot,90,1
27,Blackburn Rovers,Aston Villa,Aston Villa,Charles N'Zogbia,Shot inside penalty area,Left foot,24,
27,Blackburn Rovers,Aston Villa,Blackburn Rovers,David Dunn,Cross from open play,Head,85,
27,Fulham,Wolverhampton Wanderers,Fulham,Pavel Pogrebnyak,Cross from corner kick,Head,36,
27,Fulham,Wolverhampton Wanderers,Fulham,Pavel Pogrebnyak,Shot inside penalty area,Right foot,44,
27,Fulham,Wolverhampton Wanderers,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,56,
27,Fulham,Wolverhampton Wanderers,Fulham,Pavel Pogrebnyak,Shot following rebound,Foot,61,
27,Fulham,Wolverhampton Wanderers,Fulham,Clint Dempsey,Shot inside penalty area,Left foot,83,
27,Liverpool,Arsenal,Liverpool,Laurent Koscielny,Cross from open play,Unknown,23,
27,Liverpool,Arsenal,Arsenal,Robin van Persie,Cross from open play,Head,31,
27,Liverpool,Arsenal,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,90,2
27,Manchester City,Bolton Wanderers,Manchester City,Grétar Steinsson,Deflected shot,Unknown,23,
27,Manchester City,Bolton Wanderers,Manchester City,Mario Balotelli,Shot inside goal area,Right foot,69,
27,Newcastle United,Sunderland,Newcastle United,Shola Ameobi,Shot inside goal area,Right foot,90,1
27,Queens Park Rangers,Everton,Everton,Royston Drenthe,Shot outside penalty area,Foot,31,
27,Queens Park Rangers,Everton,Queens Park Rangers,Bobby Zamora,Cross from free kick,Head,36,
27,Stoke City,Norwich City,Stoke City,Matthew Etherington,Shot inside penalty area,Left foot,72,
27,Tottenham Hotspur,Manchester United,Manchester United,Wayne Rooney,Cross from corner kick,Head,45,
27,Tottenham Hotspur,Manchester United,Manchester United,Ashley Young,Shot following rebound,Right foot,60,
27,Tottenham Hotspur,Manchester United,Manchester United,Ashley Young,Shot outside penalty area,Right foot,69,
27,Tottenham Hotspur,Manchester United,Tottenham Hotspur,Jermain Defoe,Shot outside penalty area,Right foot,87,
27,West Bromwich Albion,Chelsea,West Bromwich Albion,Gareth McAuley,Shot inside goal area,Left foot,82,
27,Wigan Athletic,Swansea City,Swansea City,Gylfi Sigurðsson,Shot outside penalty area,Right foot,45,2
27,Wigan Athletic,Swansea City,Swansea City,Gylfi Sigurðsson,Direct from free kick,Foot,54,
28,Arsenal,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot inside penalty area,Left foot,14,
28,Arsenal,Newcastle United,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,15,
28,Arsenal,Newcastle United,Arsenal,Thomas Vermaelen,Shot inside goal area,Right foot,90,5
28,Aston Villa,Fulham,Aston Villa,Andreas Weimann,Shot following rebound,Foot,90,3
28,Bolton Wanderers,Queens Park Rangers,Bolton Wanderers,Darren Pratley,Cross from open play,Head,37,
28,Bolton Wanderers,Queens Park Rangers,Queens Park Rangers,Djibril Cissé,Shot inside penalty area,Right foot,48,
28,Bolton Wanderers,Queens Park Rangers,Bolton Wanderers,Ivan Klasnić,Shot inside penalty area,Left foot,86,
28,Chelsea,Stoke City,Chelsea,Didier Drogba,Shot inside goal area,Right foot,68,
28,Everton,Tottenham Hotspur,Everton,Nikica Jelavić,Shot inside goal area,Right foot,22,
28,Manchester United,West Bromwich Albion,Manchester United,Wayne Rooney,Shot inside penalty area,Left foot,35,
28,Norwich City,Wigan Athletic,Norwich City,Wes Hoolahan,Cross from throw-in,Left foot,10,
28,Norwich City,Wigan Athletic,Wigan Athletic,Victor Moses,Through pass creates 1-v-1,Left foot,68,
28,Sunderland,Liverpool,Sunderland,Nicklas Bendtner,Shot following rebound,Foot,56,
28,Swansea City,Manchester City,Swansea City,Luke Moore,Cross from open play,Head,83,
28,Wolverhampton Wanderers,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Cross from throw-in,Right foot,43,
28,Wolverhampton Wanderers,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Shot outside penalty area,Foot,69,
29,Aston Villa,Bolton Wanderers,Aston Villa,Stephen Warnock,Shot inside penalty area,Left foot,61,
29,Aston Villa,Bolton Wanderers,Bolton Wanderers,David Ngog,Shot inside penalty area,Right foot,63,
29,Blackburn Rovers,Sunderland,Blackburn Rovers,Junior Hoilett,Shot outside penalty area,Left foot,58,
29,Blackburn Rovers,Sunderland,Blackburn Rovers,Yakubu,Cross from open play,Head,86,
29,Everton,Arsenal,Arsenal,Thomas Vermaelen,Cross from corner kick,Head,8,
29,Fulham,Swansea City,Swansea City,Gylfi Sigurðsson,Cross from open play,Head,36,
29,Fulham,Swansea City,Swansea City,Gylfi Sigurðsson,Shot inside penalty area,Right foot,66,
29,Fulham,Swansea City,Swansea City,Joe Allen,Shot outside penalty area,Right foot,77,
29,Manchester City,Chelsea,Chelsea,Gary Cahill,Shot inside penalty area,Right foot,60,
29,Manchester City,Chelsea,Manchester City,Samir Nasri,Shot inside goal area,Right foot,85,
29,Newcastle United,Norwich City,Newcastle United,Papiss Demba Cissé,Shot inside penalty area,Right foot,11,
29,Queens Park Rangers,Liverpool,Liverpool,Sebastián Coates,Shot following rebound,Right foot,54,
29,Queens Park Rangers,Liverpool,Liverpool,Dirk Kuyt,Shot following rebound,Foot,72,
29,Queens Park Rangers,Liverpool,Queens Park Rangers,Shaun Derry,Cross from corner kick,Head,77,
29,Queens Park Rangers,Liverpool,Queens Park Rangers,Djibril Cissé,Cross from corner kick,Head,86,
29,Queens Park Rangers,Liverpool,Queens Park Rangers,Jamie Mackie,Shot inside penalty area,Right foot,90,1
29,Tottenham Hotspur,Stoke City,Stoke City,Cameron Jerome,Flick on from direct free kick,Right foot,75,
29,Tottenham Hotspur,Stoke City,Tottenham Hotspur,Rafael van der Vaart,Cross from open play,Head,90,3
