home_team,away_team,apt
Consadole Sapporo,Giravanz Kitakyushu,3927
Ehime FC,Omiya Ardija,3923
Giravanz Kitakyushu,Consadole Sapporo,3834
Omiya Ardija,Giravanz Kitakyushu,3802
Omiya Ardija,Tokushima Vortis,3799
Ehime FC,JEF United Chiba,3792
Kamatamare Sanuki,Omiya Ardija,3760
FC Gifu,Consadole Sapporo,3758
Giravanz Kitakyushu,Cerezo Osaka,3747
Roasso Kumamoto,Omiya Ardija,3723
Consadole Sapporo,Tokushima Vortis,3706
JEF United Chiba,Kamatamare Sanuki,3698
Omiya Ardija,Yokohama FC,3696
Omiya Ardija,Ehime FC,3681
JEF United Chiba,Tokushima Vortis,3666
Cerezo Osaka,Mito Hollyhock,3662
Omiya Ardija,FC Gifu,3660
Yokohama FC,Consadole Sapporo,3658
Giravanz Kitakyushu,Tokushima Vortis,3648
Omiya Ardija,Fagiano Okayama,3630
Yokohama FC,Omiya Ardija,3626
Cerezo Osaka,V-Varen Nagasaki,3620
Omiya Ardija,Thespa Kusatsu Gunma,3620
Roasso Kumamoto,Jubilo Iwata,3620
Giravanz Kitakyushu,Omiya Ardija,3619
Consadole Sapporo,Omiya Ardija,3616
Tokyo Verdy,Consadole Sapporo,3616
Ehime FC,Avispa Fukuoka,3609
Consadole Sapporo,Mito Hollyhock,3604
Consadole Sapporo,Kamatamare Sanuki,3600
Cerezo Osaka,Tochigi SC,3589
JEF United Chiba,Ehime FC,3578
Avispa Fukuoka,Kyoto Sanga FC,3573
Kyoto Sanga FC,Jubilo Iwata,3556
Cerezo Osaka,Roasso Kumamoto,3556
Consadole Sapporo,Yokohama FC,3553
Kyoto Sanga FC,Tokyo Verdy,3552
Ehime FC,Roasso Kumamoto,3546
Roasso Kumamoto,Kyoto Sanga FC,3546
Omiya Ardija,Avispa Fukuoka,3540
Omiya Ardija,Mito Hollyhock,3534
Consadole Sapporo,Avispa Fukuoka,3533
Omiya Ardija,Tokyo Verdy,3527
Cerezo Osaka,Zweigen Kanazawa,3526
Omiya Ardija,Zweigen Kanazawa,3521
Yokohama FC,Avispa Fukuoka,3514
Tochigi SC,Giravanz Kitakyushu,3514
Zweigen Kanazawa,Fagiano Okayama,3501
Consadole Sapporo,Cerezo Osaka,3499
Tochigi SC,Thespa Kusatsu Gunma,3497
Kamatamare Sanuki,JEF United Chiba,3496
Cerezo Osaka,Ehime FC,3494
FC Gifu,Tokushima Vortis,3491
V-Varen Nagasaki,Jubilo Iwata,3488
Zweigen Kanazawa,Giravanz Kitakyushu,3484
Fagiano Okayama,Zweigen Kanazawa,3482
Mito Hollyhock,Tokushima Vortis,3481
Roasso Kumamoto,Mito Hollyhock,3474
Fagiano Okayama,Thespa Kusatsu Gunma,3473
Avispa Fukuoka,Omiya Ardija,3472
Tokushima Vortis,Omiya Ardija,3469
Cerezo Osaka,JEF United Chiba,3467
Zweigen Kanazawa,Yokohama FC,3458
Consadole Sapporo,Tochigi SC,3455
Giravanz Kitakyushu,Fagiano Okayama,3449
Zweigen Kanazawa,Omiya Ardija,3447
Fagiano Okayama,Kyoto Sanga FC,3443
Omiya Ardija,V-Varen Nagasaki,3442
Giravanz Kitakyushu,Kamatamare Sanuki,3441
Cerezo Osaka,Tokushima Vortis,3441
Giravanz Kitakyushu,Zweigen Kanazawa,3434
Fagiano Okayama,V-Varen Nagasaki,3427
Zweigen Kanazawa,Cerezo Osaka,3421
Tokyo Verdy,Ehime FC,3414
Kyoto Sanga FC,Omiya Ardija,3409
Omiya Ardija,JEF United Chiba,3408
Roasso Kumamoto,Consadole Sapporo,3404
Tokushima Vortis,Fagiano Okayama,3402
Yokohama FC,Thespa Kusatsu Gunma,3402
Giravanz Kitakyushu,Ehime FC,3400
Tokushima Vortis,Mito Hollyhock,3392
Zweigen Kanazawa,Roasso Kumamoto,3389
Tochigi SC,Zweigen Kanazawa,3388
Zweigen Kanazawa,Avispa Fukuoka,3387
Tokyo Verdy,Fagiano Okayama,3385
Tochigi SC,Consadole Sapporo,3384
Thespa Kusatsu Gunma,Consadole Sapporo,3381
FC Gifu,Omiya Ardija,3377
Kyoto Sanga FC,Yokohama FC,3375
Cerezo Osaka,Omiya Ardija,3374
Consadole Sapporo,Kyoto Sanga FC,3369
Tochigi SC,Omiya Ardija,3368
Roasso Kumamoto,Giravanz Kitakyushu,3368
Oita Trinita,Kyoto Sanga FC,3364
Avispa Fukuoka,Cerezo Osaka,3363
Thespa Kusatsu Gunma,Fagiano Okayama,3363
Tokushima Vortis,Tochigi SC,3362
Thespa Kusatsu Gunma,Ehime FC,3361
Yokohama FC,Kamatamare Sanuki,3361
Yokohama FC,Cerezo Osaka,3361
Mito Hollyhock,Omiya Ardija,3360
Consadole Sapporo,Fagiano Okayama,3359
Zweigen Kanazawa,Tochigi SC,3359
Giravanz Kitakyushu,Yokohama FC,3359
Giravanz Kitakyushu,JEF United Chiba,3358
JEF United Chiba,Kyoto Sanga FC,3357
Omiya Ardija,Oita Trinita,3357
Ehime FC,Kyoto Sanga FC,3354
Jubilo Iwata,Ehime FC,3353
Ehime FC,Mito Hollyhock,3350
Fagiano Okayama,Oita Trinita,3350
Tokushima Vortis,Roasso Kumamoto,3350
Kamatamare Sanuki,Jubilo Iwata,3349
JEF United Chiba,Giravanz Kitakyushu,3349
Cerezo Osaka,Jubilo Iwata,3342
Jubilo Iwata,Giravanz Kitakyushu,3341
Tokushima Vortis,Kyoto Sanga FC,3338
Consadole Sapporo,Tokyo Verdy,3337
Kyoto Sanga FC,Cerezo Osaka,3335
Tokushima Vortis,Consadole Sapporo,3334
Omiya Ardija,Kamatamare Sanuki,3334
Avispa Fukuoka,Tochigi SC,3332
JEF United Chiba,Oita Trinita,3332
Tokushima Vortis,Yokohama FC,3327
Kamatamare Sanuki,Cerezo Osaka,3325
Kyoto Sanga FC,Avispa Fukuoka,3325
Tochigi SC,Cerezo Osaka,3319
FC Gifu,Giravanz Kitakyushu,3318
Mito Hollyhock,Ehime FC,3317
Giravanz Kitakyushu,Thespa Kusatsu Gunma,3315
Tokushima Vortis,Zweigen Kanazawa,3314
Oita Trinita,Giravanz Kitakyushu,3314
Consadole Sapporo,Ehime FC,3313
Consadole Sapporo,JEF United Chiba,3313
Jubilo Iwata,Fagiano Okayama,3312
JEF United Chiba,Zweigen Kanazawa,3309
Thespa Kusatsu Gunma,Omiya Ardija,3308
Giravanz Kitakyushu,Kyoto Sanga FC,3308
Fagiano Okayama,Cerezo Osaka,3307
Giravanz Kitakyushu,Mito Hollyhock,3304
Fagiano Okayama,Avispa Fukuoka,3304
Kyoto Sanga FC,Kamatamare Sanuki,3303
Tokyo Verdy,Oita Trinita,3303
Thespa Kusatsu Gunma,Kyoto Sanga FC,3302
Thespa Kusatsu Gunma,Zweigen Kanazawa,3300
Tokyo Verdy,Kyoto Sanga FC,3298
Giravanz Kitakyushu,FC Gifu,3297
Fagiano Okayama,Yokohama FC,3297
Cerezo Osaka,Thespa Kusatsu Gunma,3292
Cerezo Osaka,Kamatamare Sanuki,3289
V-Varen Nagasaki,Ehime FC,3288
Tochigi SC,V-Varen Nagasaki,3286
Oita Trinita,Thespa Kusatsu Gunma,3284
Kamatamare Sanuki,Giravanz Kitakyushu,3283
V-Varen Nagasaki,Giravanz Kitakyushu,3276
Roasso Kumamoto,Cerezo Osaka,3268
Tochigi SC,JEF United Chiba,3265
Tokyo Verdy,Avispa Fukuoka,3262
Zweigen Kanazawa,Mito Hollyhock,3260
Kamatamare Sanuki,Tochigi SC,3260
Cerezo Osaka,Avispa Fukuoka,3253
Zweigen Kanazawa,Jubilo Iwata,3247
Giravanz Kitakyushu,Roasso Kumamoto,3246
JEF United Chiba,Tochigi SC,3246
Giravanz Kitakyushu,Jubilo Iwata,3245
Jubilo Iwata,Avispa Fukuoka,3244
Zweigen Kanazawa,Tokushima Vortis,3242
Avispa Fukuoka,Thespa Kusatsu Gunma,3240
Ehime FC,Yokohama FC,3240
Tokyo Verdy,Tokushima Vortis,3239
Thespa Kusatsu Gunma,FC Gifu,3238
Ehime FC,Thespa Kusatsu Gunma,3236
Avispa Fukuoka,Ehime FC,3236
Mito Hollyhock,Fagiano Okayama,3235
V-Varen Nagasaki,Kyoto Sanga FC,3228
V-Varen Nagasaki,Cerezo Osaka,3225
Omiya Ardija,Kyoto Sanga FC,3222
Kamatamare Sanuki,Tokushima Vortis,3220
V-Varen Nagasaki,Tokushima Vortis,3218
Consadole Sapporo,Jubilo Iwata,3216
Tokyo Verdy,Tochigi SC,3216
Fagiano Okayama,Roasso Kumamoto,3214
Avispa Fukuoka,Tokyo Verdy,3213
Kyoto Sanga FC,Giravanz Kitakyushu,3211
Avispa Fukuoka,Fagiano Okayama,3211
Tokushima Vortis,Kamatamare Sanuki,3211
Tochigi SC,Kyoto Sanga FC,3209
Giravanz Kitakyushu,Oita Trinita,3207
Jubilo Iwata,Zweigen Kanazawa,3204
Giravanz Kitakyushu,Tochigi SC,3204
Fagiano Okayama,Omiya Ardija,3202
Fagiano Okayama,Giravanz Kitakyushu,3200
Kyoto Sanga FC,Fagiano Okayama,3197
Yokohama FC,Roasso Kumamoto,3194
Kyoto Sanga FC,Mito Hollyhock,3193
Consadole Sapporo,V-Varen Nagasaki,3192
Roasso Kumamoto,Yokohama FC,3192
Tokushima Vortis,Cerezo Osaka,3183
Avispa Fukuoka,Zweigen Kanazawa,3182
Ehime FC,Tokyo Verdy,3181
Avispa Fukuoka,Kamatamare Sanuki,3177
Omiya Ardija,Cerezo Osaka,3171
FC Gifu,Avispa Fukuoka,3170
Kamatamare Sanuki,Thespa Kusatsu Gunma,3169
Tokushima Vortis,FC Gifu,3167
JEF United Chiba,Fagiano Okayama,3167
Ehime FC,FC Gifu,3167
Kamatamare Sanuki,Oita Trinita,3165
Tochigi SC,Avispa Fukuoka,3160
Tochigi SC,Oita Trinita,3160
Jubilo Iwata,Consadole Sapporo,3160
Thespa Kusatsu Gunma,Yokohama FC,3159
Thespa Kusatsu Gunma,Tokyo Verdy,3158
Yokohama FC,Giravanz Kitakyushu,3156
Tochigi SC,Mito Hollyhock,3156
Yokohama FC,Kyoto Sanga FC,3149
Fagiano Okayama,Tokushima Vortis,3148
Mito Hollyhock,JEF United Chiba,3146
Roasso Kumamoto,Tokushima Vortis,3145
Fagiano Okayama,FC Gifu,3144
Roasso Kumamoto,Avispa Fukuoka,3144
Yokohama FC,Mito Hollyhock,3143
JEF United Chiba,Tokyo Verdy,3141
Oita Trinita,Jubilo Iwata,3141
FC Gifu,Kamatamare Sanuki,3140
Tokushima Vortis,Jubilo Iwata,3140
JEF United Chiba,Thespa Kusatsu Gunma,3139
Consadole Sapporo,FC Gifu,3135
Thespa Kusatsu Gunma,Giravanz Kitakyushu,3135
Roasso Kumamoto,JEF United Chiba,3132
Giravanz Kitakyushu,V-Varen Nagasaki,3132
Yokohama FC,Ehime FC,3131
Kamatamare Sanuki,Roasso Kumamoto,3131
Roasso Kumamoto,Fagiano Okayama,3127
Tokushima Vortis,Avispa Fukuoka,3126
Consadole Sapporo,Roasso Kumamoto,3124
Ehime FC,Tokushima Vortis,3124
JEF United Chiba,Cerezo Osaka,3120
Mito Hollyhock,Cerezo Osaka,3120
Fagiano Okayama,Mito Hollyhock,3120
Yokohama FC,Tokushima Vortis,3112
V-Varen Nagasaki,Roasso Kumamoto,3111
V-Varen Nagasaki,Tochigi SC,3109
Cerezo Osaka,Giravanz Kitakyushu,3109
Thespa Kusatsu Gunma,Avispa Fukuoka,3109
Cerezo Osaka,Yokohama FC,3108
Avispa Fukuoka,Giravanz Kitakyushu,3108
Ehime FC,Giravanz Kitakyushu,3107
Kyoto Sanga FC,Roasso Kumamoto,3105
Thespa Kusatsu Gunma,Tokushima Vortis,3100
Jubilo Iwata,V-Varen Nagasaki,3096
V-Varen Nagasaki,Omiya Ardija,3095
Mito Hollyhock,Zweigen Kanazawa,3090
Avispa Fukuoka,Mito Hollyhock,3085
Thespa Kusatsu Gunma,Cerezo Osaka,3084
Cerezo Osaka,Consadole Sapporo,3078
Tochigi SC,Ehime FC,3076
Jubilo Iwata,Roasso Kumamoto,3075
V-Varen Nagasaki,Yokohama FC,3074
Oita Trinita,Ehime FC,3074
Ehime FC,Cerezo Osaka,3072
Kyoto Sanga FC,Tokushima Vortis,3071
Kyoto Sanga FC,V-Varen Nagasaki,3068
Zweigen Kanazawa,Tokyo Verdy,3066
Oita Trinita,Cerezo Osaka,3066
Tokushima Vortis,V-Varen Nagasaki,3065
JEF United Chiba,Jubilo Iwata,3062
Zweigen Kanazawa,FC Gifu,3062
Thespa Kusatsu Gunma,Kamatamare Sanuki,3058
Ehime FC,Fagiano Okayama,3056
Kamatamare Sanuki,Mito Hollyhock,3055
Omiya Ardija,Jubilo Iwata,3054
Consadole Sapporo,Zweigen Kanazawa,3053
Ehime FC,Kamatamare Sanuki,3052
Fagiano Okayama,JEF United Chiba,3050
Tokyo Verdy,Jubilo Iwata,3049
Jubilo Iwata,Kamatamare Sanuki,3048
Zweigen Kanazawa,Kyoto Sanga FC,3047
Tokushima Vortis,JEF United Chiba,3046
Jubilo Iwata,Thespa Kusatsu Gunma,3045
Tokyo Verdy,Roasso Kumamoto,3042
Tokyo Verdy,JEF United Chiba,3040
Thespa Kusatsu Gunma,Tochigi SC,3040
FC Gifu,Yokohama FC,3037
Oita Trinita,Zweigen Kanazawa,3031
Kamatamare Sanuki,FC Gifu,3031
Fagiano Okayama,Ehime FC,3030
Oita Trinita,Consadole Sapporo,3029
Tokyo Verdy,Cerezo Osaka,3027
Cerezo Osaka,Tokyo Verdy,3027
Oita Trinita,Omiya Ardija,3025
Kyoto Sanga FC,FC Gifu,3023
Thespa Kusatsu Gunma,V-Varen Nagasaki,3021
Tokyo Verdy,Thespa Kusatsu Gunma,3015
Omiya Ardija,Consadole Sapporo,3014
Zweigen Kanazawa,Thespa Kusatsu Gunma,3013
Mito Hollyhock,Avispa Fukuoka,3009
Zweigen Kanazawa,V-Varen Nagasaki,3007
FC Gifu,Ehime FC,3006
Jubilo Iwata,FC Gifu,3006
V-Varen Nagasaki,Consadole Sapporo,3002
FC Gifu,Zweigen Kanazawa,3001
Yokohama FC,Jubilo Iwata,2998
Kamatamare Sanuki,Consadole Sapporo,2998
Jubilo Iwata,Kyoto Sanga FC,2997
Mito Hollyhock,Kyoto Sanga FC,2996
Jubilo Iwata,Tokushima Vortis,2994
Omiya Ardija,Roasso Kumamoto,2993
Jubilo Iwata,JEF United Chiba,2992
Oita Trinita,V-Varen Nagasaki,2992
Fagiano Okayama,Tochigi SC,2991
Oita Trinita,Yokohama FC,2989
Ehime FC,V-Varen Nagasaki,2988
Tokushima Vortis,Thespa Kusatsu Gunma,2987
Ehime FC,Consadole Sapporo,2986
JEF United Chiba,Roasso Kumamoto,2986
Avispa Fukuoka,Consadole Sapporo,2984
Tochigi SC,Tokushima Vortis,2983
Tokyo Verdy,Zweigen Kanazawa,2983
Oita Trinita,Fagiano Okayama,2981
Oita Trinita,Tochigi SC,2981
Tokushima Vortis,Giravanz Kitakyushu,2980
Ehime FC,Zweigen Kanazawa,2979
Zweigen Kanazawa,JEF United Chiba,2977
Tochigi SC,Yokohama FC,2974
Jubilo Iwata,Cerezo Osaka,2973
FC Gifu,Oita Trinita,2973
FC Gifu,Kyoto Sanga FC,2971
Thespa Kusatsu Gunma,Jubilo Iwata,2969
Mito Hollyhock,FC Gifu,2969
Avispa Fukuoka,Jubilo Iwata,2962
V-Varen Nagasaki,FC Gifu,2961
Tokyo Verdy,Giravanz Kitakyushu,2958
Fagiano Okayama,Consadole Sapporo,2958
Jubilo Iwata,Tochigi SC,2957
Zweigen Kanazawa,Consadole Sapporo,2956
Mito Hollyhock,Oita Trinita,2955
Jubilo Iwata,Yokohama FC,2955
Tochigi SC,Roasso Kumamoto,2952
FC Gifu,Roasso Kumamoto,2951
Giravanz Kitakyushu,Avispa Fukuoka,2950
JEF United Chiba,Mito Hollyhock,2949
Mito Hollyhock,Giravanz Kitakyushu,2948
Oita Trinita,Avispa Fukuoka,2947
Consadole Sapporo,Oita Trinita,2947
Kyoto Sanga FC,Consadole Sapporo,2942
Roasso Kumamoto,Ehime FC,2939
Yokohama FC,V-Varen Nagasaki,2935
Yokohama FC,Tochigi SC,2932
Yokohama FC,Tokyo Verdy,2926
FC Gifu,JEF United Chiba,2925
Avispa Fukuoka,JEF United Chiba,2924
Jubilo Iwata,Mito Hollyhock,2923
Mito Hollyhock,V-Varen Nagasaki,2919
Mito Hollyhock,Jubilo Iwata,2919
Tokyo Verdy,Omiya Ardija,2918
Omiya Ardija,Tochigi SC,2912
Cerezo Osaka,Oita Trinita,2911
Kamatamare Sanuki,Avispa Fukuoka,2910
Yokohama FC,Zweigen Kanazawa,2909
Kamatamare Sanuki,Kyoto Sanga FC,2909
Kamatamare Sanuki,Yokohama FC,2909
Oita Trinita,Roasso Kumamoto,2907
Kyoto Sanga FC,Oita Trinita,2906
Avispa Fukuoka,Tokushima Vortis,2905
JEF United Chiba,Omiya Ardija,2904
V-Varen Nagasaki,JEF United Chiba,2903
V-Varen Nagasaki,Oita Trinita,2903
Tokyo Verdy,FC Gifu,2902
Kamatamare Sanuki,Zweigen Kanazawa,2901
Yokohama FC,Fagiano Okayama,2900
Mito Hollyhock,Roasso Kumamoto,2897
Tokushima Vortis,Ehime FC,2897
Tokyo Verdy,Yokohama FC,2894
Fagiano Okayama,Jubilo Iwata,2892
FC Gifu,Tochigi SC,2887
Yokohama FC,JEF United Chiba,2886
Fagiano Okayama,Tokyo Verdy,2885
Jubilo Iwata,Tokyo Verdy,2884
Mito Hollyhock,Consadole Sapporo,2883
Tochigi SC,Fagiano Okayama,2882
Tochigi SC,Jubilo Iwata,2881
Tokyo Verdy,Mito Hollyhock,2880
Roasso Kumamoto,Zweigen Kanazawa,2875
JEF United Chiba,Consadole Sapporo,2873
V-Varen Nagasaki,Thespa Kusatsu Gunma,2863
Tokushima Vortis,Tokyo Verdy,2863
Tokushima Vortis,Oita Trinita,2862
FC Gifu,Mito Hollyhock,2839
Mito Hollyhock,Tokyo Verdy,2838
Kamatamare Sanuki,Tokyo Verdy,2837
Mito Hollyhock,Thespa Kusatsu Gunma,2837
Thespa Kusatsu Gunma,Roasso Kumamoto,2833
Thespa Kusatsu Gunma,JEF United Chiba,2828
Thespa Kusatsu Gunma,Oita Trinita,2821
Kyoto Sanga FC,Zweigen Kanazawa,2820
Roasso Kumamoto,Tochigi SC,2818
Avispa Fukuoka,Yokohama FC,2818
Jubilo Iwata,Oita Trinita,2817
JEF United Chiba,FC Gifu,2814
V-Varen Nagasaki,Kamatamare Sanuki,2804
Tokyo Verdy,Kamatamare Sanuki,2800
FC Gifu,Jubilo Iwata,2799
Giravanz Kitakyushu,Tokyo Verdy,2795
Ehime FC,Tochigi SC,2791
FC Gifu,Thespa Kusatsu Gunma,2787
V-Varen Nagasaki,Avispa Fukuoka,2787
Roasso Kumamoto,Kamatamare Sanuki,2785
JEF United Chiba,Avispa Fukuoka,2782
Oita Trinita,FC Gifu,2780
Yokohama FC,FC Gifu,2778
Oita Trinita,Mito Hollyhock,2774
Fagiano Okayama,Kamatamare Sanuki,2770
Avispa Fukuoka,Roasso Kumamoto,2768
Tochigi SC,Tokyo Verdy,2765
Kyoto Sanga FC,Ehime FC,2763
Avispa Fukuoka,V-Varen Nagasaki,2762
Roasso Kumamoto,Thespa Kusatsu Gunma,2755
Cerezo Osaka,Kyoto Sanga FC,2753
Roasso Kumamoto,Tokyo Verdy,2752
Kamatamare Sanuki,V-Varen Nagasaki,2748
JEF United Chiba,V-Varen Nagasaki,2742
V-Varen Nagasaki,Zweigen Kanazawa,2742
Mito Hollyhock,Tochigi SC,2739
Cerezo Osaka,Fagiano Okayama,2737
Jubilo Iwata,Omiya Ardija,2733
Ehime FC,Oita Trinita,2725
Roasso Kumamoto,V-Varen Nagasaki,2722
Mito Hollyhock,Kamatamare Sanuki,2722
V-Varen Nagasaki,Tokyo Verdy,2716
Oita Trinita,JEF United Chiba,2710
Ehime FC,Jubilo Iwata,2708
JEF United Chiba,Yokohama FC,2696
Thespa Kusatsu Gunma,Mito Hollyhock,2695
Yokohama FC,Oita Trinita,2686
Kamatamare Sanuki,Ehime FC,2677
Zweigen Kanazawa,Ehime FC,2676
Oita Trinita,Tokushima Vortis,2673
V-Varen Nagasaki,Mito Hollyhock,2650
Mito Hollyhock,Yokohama FC,2649
Kyoto Sanga FC,Thespa Kusatsu Gunma,2648
Zweigen Kanazawa,Kamatamare Sanuki,2645
Cerezo Osaka,FC Gifu,2645
Avispa Fukuoka,Oita Trinita,2643
Roasso Kumamoto,FC Gifu,2641
Oita Trinita,Tokyo Verdy,2630
Consadole Sapporo,Thespa Kusatsu Gunma,2613
Avispa Fukuoka,FC Gifu,2595
Kyoto Sanga FC,Tochigi SC,2557
Zweigen Kanazawa,Oita Trinita,2533
Oita Trinita,Kamatamare Sanuki,2525
FC Gifu,Tokyo Verdy,2524
V-Varen Nagasaki,Fagiano Okayama,2522
Tochigi SC,FC Gifu,2516
Tokyo Verdy,V-Varen Nagasaki,2510
Tochigi SC,Kamatamare Sanuki,2480
Roasso Kumamoto,Oita Trinita,2441
Kamatamare Sanuki,Fagiano Okayama,2426
Kyoto Sanga FC,JEF United Chiba,2425
FC Gifu,Fagiano Okayama,2291
FC Gifu,Cerezo Osaka,2289
FC Gifu,V-Varen Nagasaki,2188
