home_team_name,away_team_name,calc_eff_time,ball_out_events,calc_time_lost,pred_time_lost_mean,pred_time_lost_upper,pred_time_lost_lower
Korea Republic,Algeria,3811,57,682,925.2020454219,1239.2426213855,687.6340448937
Costa Rica,Greece,3654,40,762,697.0709460094,912.8808858764,530.0336535751
Costa Rica,Greece,1258,24,581,463.3733912325,587.4334096016,364.1200672663
Netherlands,Chile,3741,47,716,792.9855110779,1049.1964022238,596.7346787037
Côte d'Ivoire,Japan,4064,48,896,806.4444729278,1068.4335801502,606.0405185242
Japan,Colombia,3888,49,590,819.8473004438,1087.6159260132,615.2951197261
Argentina,Iran,4200,52,775,859.73240708,1144.8464106044,642.7643913847
Australia,Spain,4428,46,415,779.4689776806,1029.9030636309,587.3762170802
Croatia,Mexico,3812,52,778,859.73240708,1144.8464106044,642.7643913847
Greece,Côte d'Ivoire,3783,46,824,779.4689776806,1029.9030636309,587.3762170802
Nigeria,Bosnia and Herzegovina,4521,33,423,597.7096508068,773.2392152677,460.1475324343
Iran,Nigeria,4219,47,585,792.9855110779,1049.1964022238,596.7346787037
Germany,Ghana,4099,48,611,806.4444729278,1068.4335801502,606.0405185242
Brazil,Chile,4032,52,556,859.73240708,1144.8464106044,642.7643913847
Brazil,Chile,1277,31,608,568.5710758748,732.624576044,439.4810936614
Russia,Korea Republic,4315,46,491,779.4689776806,1029.9030636309,587.3762170802
Ghana,USA,4309,57,676,925.2020454219,1239.2426213855,687.6340448937
Switzerland,France,3929,37,504,654.9538250246,853.4821236488,500.5156008813
Italy,Costa Rica,4148,34,729,612.1452316731,793.4190920586,470.3556396446
France,Honduras,4167,38,421,669.0664173309,873.352535002,510.4230698033
Brazil,Colombia,3367,37,447,654.9538250246,853.4821236488,500.5156008813
Ecuador,France,4226,51,580,846.4899833091,1125.8211502161,633.6558242793
Brazil,Mexico,4156,35,530,626.4958799336,813.517806938,480.4844800297
USA,Germany,4343,45,647,765.8933666022,1010.5521739399,577.9636821509
France,Germany,4172,59,655,951.0630797818,1276.6787430061,705.2865148808
Netherlands,Costa Rica,3915,37,579,654.9538250246,853.4821236488,500.5156008813
Netherlands,Costa Rica,1220,31,681,568.5710758748,732.624576044,439.4810936614
Korea Republic,Belgium,4058,53,739,872.9238406116,1163.821609427,651.8266546841
Germany,Argentina,4124,55,666,899.1583021604,1201.626070786,669.8166339218
Germany,Argentina,1567,27,392,509.1226490454,650.2843013827,397.0468165612
Colombia,Greece,4070,49,639,819.8473004438,1087.6159260132,615.2951197261
Netherlands,Argentina,4379,39,405,683.1046968854,893.1514284695,520.2616785468
Netherlands,Argentina,1424,27,315,509.1226490454,650.2843013827,397.0468165612
Spain,Netherlands,3768,43,518,738.5585123072,971.6718440819,558.9702144494
Colombia,Côte d'Ivoire,3707,49,727,819.8473004438,1087.6159260132,615.2951197261
Switzerland,Ecuador,4102,57,669,925.2020454219,1239.2426213855,687.6340448937
Australia,Netherlands,3730,50,611,833.1953664121,1106.7447105414,624.4998017164
Brazil,Croatia,3707,65,855,1027.6214523559,1387.9715622507,757.3221667389
Honduras,Switzerland,4020,40,642,697.0709460094,912.8808858764,530.0336535751
Cameroon,Brazil,3572,50,610,833.1953664121,1106.7447105414,624.4998017164
Japan,Greece,3721,31,635,568.5710758748,732.624576044,439.4810936614
Germany,Algeria,3878,55,1031,899.1583021604,1201.626070786,669.8166339218
Germany,Algeria,1216,35,648,626.4958799336,813.517806938,480.4844800297
Spain,Chile,4121,63,688,1002.2661427609,1351.0369767824,740.1242866041
Belgium,USA,4267,65,924,1027.6214523559,1387.9715622507,757.3221667389
Belgium,USA,1436,23,428,447.8735928799,566.2490204985,352.9062185391
Colombia,Uruguay,3937,39,574,683.1046968854,893.1514284695,520.2616785468
Uruguay,Costa Rica,3558,57,795,925.2020454219,1239.2426213855,687.6340448937
Germany,Portugal,4266,41,466,710.9673217384,932.5428779818,539.7410956562
Brazil,Netherlands,4086,36,445,640.7645014864,833.5379920807,490.5369084861
Mexico,Cameroon,3928,55,796,899.1583021604,1201.626070786,669.8166339218
Argentina,Switzerland,3962,57,589,925.2020454219,1239.2426213855,687.6340448937
Argentina,Switzerland,1477,26,604,493.9920036587,629.4458007927,386.18443202
France,Nigeria,3810,53,930,872.9238406116,1163.821609427,651.8266546841
Chile,Australia,4206,46,585,779.4689776806,1029.9030636309,587.3762170802
Argentina,Bosnia and Herzegovina,4278,44,526,752.257097874,991.1422765732,568.4955491214
Algeria,Russia,4104,53,590,872.9238406116,1163.821609427,651.8266546841
Bosnia and Herzegovina,Iran,3750,50,842,833.1953664121,1106.7447105414,624.4998017164
Belgium,Algeria,3951,46,606,779.4689776806,1029.9030636309,587.3762170802
Uruguay,England,3777,62,1012,989.5281219888,1332.5096698528,731.4712201493
Honduras,Ecuador,3991,49,568,819.8473004438,1087.6159260132,615.2951197261
Italy,Uruguay,4140,52,585,859.73240708,1144.8464106044,642.7643913847
Cameroon,Croatia,4005,42,482,724.7958655813,952.1392729659,549.3859898442
England,Italy,4324,33,478,597.7096508068,773.2392152677,460.1475324343
Brazil,Germany,3881,45,606,765.8933666022,1010.5521739399,577.9636821509
Belgium,Russia,4153,61,689,976.7488188382,1313.9413763857,722.7810878366
Portugal,Ghana,4084,55,556,899.1583021604,1201.626070786,669.8166339218
USA,Portugal,4388,38,519,669.0664173309,873.352535002,510.4230698033
Nigeria,Argentina,3943,46,636,779.4689776806,1029.9030636309,587.3762170802
Netherlands,Mexico,4197,43,587,738.5585123072,971.6718440819,558.9702144494
Argentina,Belgium,4280,58,692,938.1549246758,1257.9827900313,696.4804443653
Costa Rica,England,3924,47,749,792.9855110779,1049.1964022238,596.7346787037
